Title,PrimaryAuthor,PrimaryInstitution,PrimaryDepartmentSchool,SecondaryAuthor,SecondaryInstitution,SecondaryDepartmentSchool,TertiaryAuthor,TertiaryInstitution,TertiaryDepartmentSchool,Topics,Year
Determinants of Job Satisfaction and Turnover Intent in Home Health Workers: The Role of Job Demands and Resources,"Yuri Jang, Ph.D",University of Texas at Austin,School of Social Work,"Ahyoung Lee, M.S.W.",University of Texas at Austin,School of Social Work,"Michelle Zadrozny, L.M.S.W.","Helping the Aging, Needy, and Disabled Inc., Austin, Texas",N/A,Health Disparities Healthcare Entrepreneurship,2015
Impact of a Comprehensive Integrative Therapies and Self-Management Approach to Chronic Pain Management in a Primary Care Setting,Kerr (?),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Patient Safety & Quality Care, Digital Health, Health Information Technology",2015
The Role of Health Literacy on Process and Outcomes of Self-Help Intervention in Korean American with Type 2 Diabetes,"Miyong T. Kim, Ph.D, R.N., F.A.A.N.",University of Texas at Austin,School of Nursing,"Ju-Young Lee, M.S.N.",University of Texas at Austin,School of Nursing,"Jisook Ko, M.S.N.",University of Texas at Austin,School of Nursing,"Health Communication, Health Disparities",2015
Spanish-speaking Caregivers of Children with Medical Complexity Use Different Response Styles on PedsQL and CAHPS Instruments,"Kendra D. Koch, M.A.",University of Texas at Austin,School of Social Work,"Barbara Jones, Ph.D.",University of Texas at Austin,School of Social Work,"Mary Ann Alexander, Ph. D.",Seton Healthcare Family,N/A,"Health Communication, Patient Safety & Quality Care",2015
Local Innovation In Implementing VA Epilepsy Centers of Excellence,"Holly J. Lanham Ph.D., M.B.A",University of Texas Health Science Center San Antonio,McCombs School of Business,Elise Boucher,University of Texas Health Science Center San Antonio,N/A,Katharine McMilan,University of Texas Health Science Center San Antonio,N/A,"Health Disparities, Design, Proccess Improvement",2015
From Information Exchange to Sensemaking: A Thematic Analysis of Secure Messages between Patients and Providers,"Holly J. Lanham Ph.D., M.B.A",University of Texas Health Science Center San Antonio,McCombs School of Business,"Luci K. Leykum, M.D., M.B.A., M.Sc.",University of Texas Health Science Center San Antonio,McCombs School of Business,"Jacqueline A. Pugh, M.D.",University of Texas Health Science Center San Antonio,South Texas Veterans Health Care System,Health Information Technology,2015
Helping Parents with children with mental health needs: A qualitative pilot study of the lived experience s of ethnic minority pediatricians,"Sharon Lee, L.C.S.W./ L.I.C.S.W",University of Texas at Austin,School of Social Work,N/A,N/A,N/A,N/A,N/A,N/A,"Health Disparities, Health Communications",2015
Factors Influencing Biological Markers of Carddiovascular Risk in Children with Juvenile Arthritis,Kimberly Lewis (Ph.D. Student),University of Texas at Austin,School of Nursing,"Collin Hovinga, PharmaD., Ph.D.",Dell Children's Medical Center of Central Texas,Pediatric Clinical Research Operations,"Ray Carrasco, M.D.",Dell Children's Medical Center of Central Texas,Rheumatology,"Health Disparities, Patient Safety & Quality Care",2015
"Piloting the Physician Relationship, Improving, and Sensemaking Intervention",Luci K. Leykum,University of Texas Health Science Center San Antonio,McCombs School of Business,"Holly J. Lanham Ph.D., M.B.A",University of Texas Health Science Center San Antonio,McCombs School of Business,"Jacqueline A. Pugh, M.D.",University of Texas Health Science Center San Antonio,N/A,"Process Improvement, Design",2015
Palliative Care in Young Adults with Cancer: Addressing Needs for an Overlooked Population,"Brittany Linton, M.A. (Ph.D. Student)",University of Texas at Austin,Educational Psychology,"Megan Pfitzinger, M.S.N, R.N.",University of Texas at Austin,School of Nursing,Abigail Seow,University of Texas at Austin,College of Pharmacy,"Patient Safety & Quality Care, Process Improvement",2015
Business of Healthcare: Preparing Future Healthcare Professionals for Leadership,"Kristie J. Loescher, M.P.H.",Univeristy of Texas at Austin,McCombs School of Business,Regina W. Hughes,University of Texas at Austin,McCombs School of Business,N/A,N/A,N/A,Healthcare Entrepreneurship,2015
Meeting Behavorial Health Community Needs through the 1115 Transformation Waiver,"Molly A. Lopez, Ph.D",Univeristy of Texas at Austin,School of Social Work,"Stacey Stevens Manser, Ph.D",University of Texas at Austin,School of Social Work,N/A,N/A,N/A,"Design, Healthcare Law & Policy",2015
Health Litercay and Stigma: A Research Agenda to Improve Practice and Outcomes,"Micheal Mackert, Ph.D",University of Texas at Austin,Stan Richards School of Advertising and Public Relations,"Amanda Mabry, M.P.H.",University of Texas,Stan Richards School of Advertising and Public Relations,"Erin Donovan, Ph.D.",Univeristy of Texas at Austin,Communication Studies,Health Communication,2015
Minority Representation and Minority Health,Eric L. McDaniel,University of Texas at Austin,N/A,Rebecca M. Eissler,University of Texas at Austin,,Annelise Russell ,University of Texas at Austin,N/A,Health Disparities,2015
Physician Per Capita Bias and the 2003 Texas Medical Malpractice Reforms: Supply on Existing Physcians Are Rapid and Larger Than on New Physicians,Stephen P. Magee,University of Texas at Austin,McCombs School of Business,Devrim Ikizler,University of Texas at Austin,College of Liberal Arts,N/A,N/A,N/A,"Healthcare Entrepreneurship, Healthcare Law & Policy",2015
Development of National Healthcare Capital Facilitie Benchamrking Program,"Stephen P. Mulva, Ph.D.",University of Texas at Austin,N/A,"Vivek Sharma, M.S.",University of Texas at Austin,N/A,N/A,N/A,N/A,"Healthcare Entrepreneurship, Process Improvement",2015
Pharmacy Students' Confidence in and Knowledge of Tobacco Cessation Counseling: Cigarettes vs. Hookah,"Onyinye Nduaguba, M.Sc.",University of Texas at Austin,College of Pharmacy/Health Outcomes and Pharmacy Practice,"Kentya Ford, Dr.P.H., M.S.",University of Texas at Austin,College of Pharmacy/Health Outcomes and Pharmacy Practice,"Ogechi Iwuoric, Pharm.D.",University of Texas at Austin,College of Pharmacy/Health Outcomes and Pharmacy Practice,Pharmaceutical Innovatiion,2015
Telling the Family about Cancer: An Examination of the Disclosure Decision Process Using the Theory of Motivated Information Management,Erin C. Nelson,University of Texas at Austin,Moody College of Communication,,N/A,N/A,N/A,N/A,N/A,Health Communication,2015
Perioperative Process Flow Improcess and Analysis of Performance Measures-A Case Study,"William O'Brien, Ph.D.",University of Texas at Austin,"Cockrell School of Engineering/Civil, Architectural, and Environmental Engineering",Piyush Jajpuria,University of Texas at Austin,"Cockrell School of Engineering/Civil, Architectural, and Environmental Engineering",N/A,N/A,N/A,"Process Improvement, Design",2015
Latina Prenatal and Birth Experiences in the Healthcare System: A Meta-synthesis of Qualitative Studies,"Yolanda C. Padilla, Ph.D, LMSW-AP",University of Texas at Austin,School of Social Work,"Eden Robles, M.S.W., Ph.D. candidate",University of Texas at Austin,School of Social Work,,N/A,N/A,"Health Disparities, Patient Safety & Quality Care",2015
Shifting from Volume to Value in Cancer Care,"Debra Patt, M.D., M.P.H, M.B.A.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Healthcare Entrepreneurship, Design",2015
Effectiveness of an Intervention to Improve Parent-Professional Collaboration In Neonatal Intensive Care,"Joy Hinson Penticuff, R.N., Ph.D, F.A.A.N.",Univeristy of Texas at Austin,School of Nursing,N/A,N/A,N/A,N/A,N/A,N/A,"Health Communication, Design",2015
Learning at scale in a collaborative chronic care network: Insights from a discrete choice experiment,Shannon Provost,N/A,N/A,Emre Yucel,N/A,N/A,Tom Sager,N/A,N/A,"Process Improvement, Design",2015
Assesing Healthcare Providers Awareness of PTSD in Children with Chronic Illness,Carey S. Pulverman,University of Texas at Austin,College of Liberal Arts/Psychology,Hailey V. Malcolm,University of Texas at Austin,School of Social Work,N/A,N/A,N/A,"Health Disparities, Health Communications",2015
Upstream Healthcare Law,"William M. Sage, M.D., J.D.",University of Texas at Austin,School of Law/ Dell Medical School,,N/A,N/A,N/A,N/A,N/A,"Healthcare Law & Policy, Healthcare Entreprenuership",2015
Feasibility of utilizing 3-D printing in educating brain injury team members about neuropathology associated with brain injury,"David Ripley, M.D.",Brain Injury Medicine & Rehabilitation Program,Director,"Korak Sarkar, M.D.",Brain Injury Medicine & Rehabilitation Program,Brain Injury Fellow,N/A,N/A,N/A,Biotechnology Innovation,2015
Delivering patient-centered cancer care: Creation of a blueprint for a model of patient-centered cancer care in Austin,"Rebekkah, Schear, M.I.A.",LIVESTRONG Foundation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Health Communication, Health Information Technology, Design",2015
"Engaing families in discussions about health: Analyzing parental messages about nutrition, physical activity, and weight",Emily Scheinfeld,University of Texas at Austin,Moody College of Communication,Erin Nelson,University of Texas at Austin,Moody College of Communication,Brittani Cook,University of Texas at Austin,Moody College of Communication,"Health Communication, Design",2015
Of Competitive Pressures and Care Quality: Infertility Treatment Case,"Helen Schneider, Ph.D.",University of Texas at Austin,College of Liberal Arts/Economics,N/A,N/A,N/A,N/A,N/A,N/A,"Health Disparities, Healthcare Entrepreneurship",2015
Social Workers Leading the Way in Integrated Behavioral Healthcare Training,"Robin Smith, L.C.S.W.",University of Texas at Austin,School of Social Work,"Barbara Jones, Ph.D.",University of Texas at Austin,School of Social Work,"Diana Dinitto,, Ph.D.",University of Texas at Austin,School of Social Work,Health Communication,2015
Yadda Yadda Healthcare- Seinfeld as Treatment,,Stephen M. Sonneberg,University of Texas at Austin,N/A,N/A,N/A,N/A,N/A,N/A,Health Communication,2015
What Organizations Need to Know About Sending Health Messages to Employees: Organizational Identification and Technology Use,"Keri K. Stephens, Ph.D.",University of Texas at Austin,Communication Studies/UT Center for Health Communication,"Yaguang Zhu, M.A.",University of Texas at Austin,Communication Studies,,N/A,N/A,"Health Communication, Health Information Technology",2015
Improving Birth Outcomes Among African Americans: Implementation of the Materna Infant Outreach Program,"Sheta, Vohra-Gupta, Ph.D., M.S.W.",N/A,N/A,"Rosamaria Murillo, Ph.D.",N/A,N/A,"Tyan Parker-Dominguez,  Ph.D, M.P.H., M.S.W.",,,"Health Disparities, Patient Safety & Quality Care, Design",2015
Strategy for Sucessful Implementation of Bundled Payments in Orthopaedic Surgery,Ward (?),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Healthcare Entrepreneurship,  Design",2015
Chronic Disease Management Extended Abstract ATCIC,"Teresa Williams, M.A., L.P.C.",Behavioral Health & Developmental Disabilities Services,N/A,"William Wilson, Dr.P.H.",Behavioral Health & Development Disabilities,N/A,N/A,N/A,N/A,Patient Safety & Quality Care,2015
Modeling the Financial Impact of Reducing Inappropriate Telemetry following Recommendations,"Angela Winegar, Ph.D.",Seton Healthcare Family,Clinical Effectiveness and Outcomes Research Manager,N/A,N/A,N/A,N/A,N/A,N/A,"Healthcare Entrepreneurship, Health Information Technology",2015
Development of a Family-Centered Intervention Program for Patients with Autism Spectrum Disorder in the Outpatient Surgey Unit,"Brittany M. Wittenberg, M.A., C.C.L.S.",N/A,N/A,"Kim W. Wirth, B.S.N., R.N.",N/A,N/A,"Jeanne A. Johnson, M.H.A.",,N/A,"Health Disparities, Health Communications",2015
Coaching and Relational Coordination Within Nursing: Underused Paths to Success,"Linda H. Yoder, Ph.D., M.B.A., R.N., A.O.C.N., F.A.A.N",,School of Nursing,N/A,N/A,N/A,N/A,N/A,N/A,Patient Safety & Quality Care,2015
Innovation in Healthcare Delivery Systems: Engaging Patients and Families to Transform Care,Victoria Yu,University of Texas at Austin,School of Social Work,,N/A,N/A,N/A,N/A,N/A,Health Communication,2015
A Tale of Two Academic Medical programs in Galveston and Austin: Attitudes of Internal medical Residents on the Use of Outdated Health Information Technology and their Replacement with Smart Mobile Devices for Communications,"Preeti Zanwar, Ph.D, M.P.H., M.S.",University of Texas Medical Branch,Sealy Center on Aging,"Aryan Nezamabadi, M.D.",University of Texas Medical Branch,Sealy Center on Aging,N/A,N/A,N/A,"Health Information Technology, Process Improvement, Biotechnology Innovation",2015
"Financial Innovation, decision making, and healthcare",Thaleia Zariphopoulou,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Healthcare Entrepreneurship,2015
"Social ""Networkout"" at Workplace: Boosting Employees Wellness Programs through the Integration of Wearable Devices, Social Media Use, and Mobile Technology","Yaguang Zhu, M.A.",University of Texas at Austin,Communication Studies,Teresa Vogt,University of Texas at Austin,Kinesiology and Health Education,Donald Robinson,University of Texas at Austin,Kinesiology and Health Education,"Biotechnology Innovation, Biomedica/Medical Devices, Digital Health",2015
