Title,PrimaryAuthor,PrimaryInstitution,PrimaryDepartmentSchool,SecondaryAuthor,SecondaryInstitution,SecondaryDepartmentSchool,TertiaryAuthor,TertiaryInstitution,TertiaryDepartmentSchool,Topics,Year
Electronic Whiteboard Implementation to Track Patient Flow,Dalia Farhat,U.T. M.D. Anderson,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Process Improvement,2014
Enabling the Lean Lab: Lowering the blood pressure of today's central diagnostic laboratories,"Victoria K. Hodson, Ph.D.",Luminex Corporation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Process Improvement, Biomedical/medical devices, Biotechnology Innovation",2014
Engaging Audiences via Celebrity Diagnoses: Using Teachable Moments for Online Health Communication,"Micheal Mackert, Ph.D.",University of Texas at Austin,Advertising and Public Relation,"Allison Lazard, M.S.",University of Texas at Austin,Advertising and Public Relations,"Mark Bogusi,M.D., Ph.D",Harvard Medical School ,Center for Biomedical Informatics,Health Communication,2014
A Literature Review of Expanded School Mental Health Programs,"Beatriz E. Mann, B.A.",University of Texas at Austin,School Psychology,"Leann Smith, B.A.",University of Texas at Austin,School Psychology,N/A,N/A,N/A,Health Disparities ,2014
FMEA for improved patient safety in the coordination and reporting of significant test results,"Adriana Chavez, Ph.D",N/A,N/A,"Sheilah Bofil, R.N, O.C.N., M.H.A, C.P.H.Q.",N/A,N/A,"Toni Edwards, B.S.R.C., M.B.A., R.R.T., R.C.P.",N/A,N/A,"Process Improvement, Patient Safety & Quality Care",2014
From ER to Home: Patient Throughput Issues at a Level I Trauma Center,"Kristie J. Loesher, M.P.H., D.B.A.",University of Texas at Austin,McCombs School of Business,"Latashia Kerr, R.N., B.S.N.",University of Texas at Austin,McCombs School of Business,N/A,N/A,N/A,"Patient Safety & Quality Care, Process Improvement",2014
"Getting a Second Opinion: Social Capital, Digital Inequalities, and Health Information Repertoire","Wenhong Chen, Ph.D",University of Texas at Austin,Radio-Television-Film,"Kye-Hyoung Lee, M.A.",University of Texas at Austin,Education/Educational Administration,"Joseph D. Straubhaar, Ph.D.",University of Texas at Austin,Radio-Television Film,Health Information Technology,2014
The Impact of a Brief Smoking Cessation intervention for community pharmacists on self-reported affect toward counseling clients,"Kentya H. Ford, Dr.P.H., M.S., C.H.E.S.",University of Texas at Austin,College of Pharmacy/Health Outcomes and Pharmacy Practice,"Keenan Pituch, Ph.D.",University of Texas at Austin,Educational Psychology,"Rakesh Singh, M.S., B.Pharm",University of Texas at Austin,College of Pharmacy/Health Outcomes and Pharmacy Practice,"Pharmaceutical Innovation, Health Disparities, Health Communication",2014
Lessons Learned from Using a Rapid Cycle Improvement Methodology to Change an Ecosystem Surrounding the Transition of Medicare Patients between Health Care Facilities,"Julie Nguyen, M.P.H.",TMF Health Quality Institute,Senior Services Consultant,N/A,N/A,N/A,N/A,N/A,N/A,"Process Improvement, Design, ",2014
Life Interrupted: The Adolescent's Experience When a Parents has Advanced Cancer,Phillips (?),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Health Disparities,2014
An Ecosystem for Improving Health Care Delivery in Action: Managing Doctor-Patient Relationship toward the Maximized Living Model,"Sheena Yang, Ph.D.",University of Texas at Austin,Kinesiology and Health Education,Cash Lewis,D.C. Elite Wellness Chiropractic,Maximized Living Doctor,N/A,N/A,N/A,Patient Safety & Quality Care,2014
A Multisystem Approach to Healthy Living: Information and Tools for Children and their Families,"Beatriz E. Mann, B.A.",University of Texas at Austin,School Psychology,"Julie Sell, R.N.",University of Texas at Austin,School of Nursing,"Sonia Alvarez, B.S.W.",University of Texas at Austin,School of Social Work,"Health Disparities, Health Communication",2014
Ordinary Medical Expenses,"Calvin Johnson, J.D.",University of Texas,School of Law,N/A,N/A,N/A,N/A,N/A,N/A,Healthcare Law and Policy,2014
Specificity of healthcare providers' responses to pay-for-performance incentives in the United Kingdom,Samuel S. Richardson,University of Texas at Austin,Lyndon B. Johnson School of Public Affairs,N/A,N/A,N/A,N/A,N/A,N/A,"Patient Safety & Quality Care, Process Improvement",2014
Promise of Data Visualization in Usual Practice: Imbedding Decision Support within an Electronic Health Record,"Deborah Cohen, M.S.W.",University of Texas at Austin,School of Social Work,N/A,N/A,N/A,N/A,N/A,N/A,Health Information Technology,2014
Readmitting in Hospitals- Models and Challenges,Murali Parthasarathy,Saaraa Medical Solutions,Management Director,Paul Damien,University of Texas at Austin,"McCombs School of Business/ Information, Risk and Operations Management",,,,"Healthcare Entrepreneurship, Patient Safety & Quality Care",2014
Reduction of Adverse Drug Events in the Medicare Population in Texas through Partnership with the Health Resources Services Administration (HRSA) Patient Safety Clinical Pharmacy Services Collaborative (PSPC) Project,Jim Turpin,TMF Health Quality Institute,Quality Improvement Consultant,N/A,N/A,N/A,N/A,N/A,N/A,"Pharmaceutical Innovation, Health Disparities, Patient Safety & Quality Care",2014
A Project to Reengineer Discharges Reduces 30 Day Hospital Readmission Rates,"Jennifer Markley, R.N.",TMF Health Quality Institute,Quality Improvement Division Director,Vanesa Andow,TMF Health Quality Institute,Readmissions Project Manager,N/A,N/A,N/A,"Patient Safety & Quality Care, Design",2014
Safe Communities America,A.L. Fisher,University of Texas at Austin,Education Psychology/School Psychology,S. O' Banion,University of Texas at Austin,School of Nursing,E. Hanson,University of Texas at Austin,School of Social Work,"Patient Safety & Quality Care,  Design",2014
Seamless Transitions: Achieving Patient Safety Through Communication and Collaboration,"Kavita Radhakrishnan, R.N., Ph.D., M.S.E.E.",University of Texas at Austin,School of Nursing,"Debbie Weems, F.A.C.H.E.",Harden Healthcare,Integrated Care,"Terry Jones, R.N., Ph.D.",University of Texas at Austin,,"Patient Safety & Quality Care, Design",2014
Social Network analysis supports innovation and improvement in a collaborative chronic care network,"Shannon Provost, M.B.A",N/A,N/A,Francesca Grippa,N/A,N/A,Molly McKean,N/A,N/A,"Health Communication, Design, Patient Safety & Quality Care",2014
Administering Healthcare in Space: Setting the Bar High can Lower Cost on Earth,Dorit B. Donoviel,National Space Biomedical Research Institute and Center for Space Medicine,Pharmacology,Amanda Hackler,National Space Biomedical Research Institute and Center for Space Medicine,,Jeffrey P. Sutton,Baylor College of Medicine; National Space Biomedical Research Institute and Center for Space Medicine,Medicine,"Biotechnology Innovation, Patient Safety & Quality Care",2014
Targeted infection control practices in post-natural disaster clinical environments,McKenna R. Nevers,Saint Louis University,N/A,Steven W. Nevers,University of Texas at Austin,N/A,N/A,N/A,N/A,"Design, Patient Safety & Quality Care, Process Improvement",2014
Transformative Teams in Healthcare: Evaluation of an Advanced Interprofessional Seminar on Communication and Collaboration,"John Luk, M.D.",UTMB School of Medicine,Pediatrics,"Barbara Jones, Ph.D., M.S.W.",University of Texas at Austin,School of Social Work,"Farya Phillips, Ph.D., C.C.L.S.",University of Texas at Austin,School of Social Work,"Health Communication, Design",2014
Veterans Community Park and Pavilion Project,Elizabeth Danze,University of Texas,School of Architecture; College of Liberal Arts,John Blood,University of Texas at Austin,School of Architecture,"Stephen Sonneberg, M.D.",University of Texas at Austin,Architecture; College of Liberal Arts; Psychiatry-Dell Medical School & UTSW. ,"Health Disparities, Design, Patient Safety & Quality Care ",2014
Manifestations and implications of uncertainty for improving healthcare systems: An analysis of observational and intervational studies grounded in complexity science,Luci K. Leykum,University of Texas Health Science Center at San Antonio,N/A,Holly Lanham,University of Texas Health Science Center at San Antonio,Medicine,Jacqueline Pugh,University of Texas Health Science Center at San Antonio,N/A,"Patient Safety & Quality Care, Process Improvement",2014
Initial Insights from a Mixed Methods Multisite Field Study: Health IT Implementation and Clinical Workflow in the Context of Ambulatory Care Practice Redesign,"Holly J. Lanham, Ph.D., M.B.A.",University of Texas Health Science Center at San Antonio,Medicine,"Curt Lindberg, Ph.D.",Billings Clinic,Partnership for Complex Systems and Healthcare Innovation,"Elizabeth Cimins, Ph.D., M.P.H.",Billings Clinic,Center for Clinical Translational Research,"Health Information Technology, Design",2014
