Title,PrimaryAuthor,PrimaryInstitution,PrimaryDepartmentSchool,SecondaryAuthor,SecondaryInstitution,SecondaryDepartmentSchool,TertiaryAuthor,TertiaryInstitution,TertiaryDepartmentSchool,Topics,Year
Operation Naloxone: Overdose Prevention Service Learning for Student Pharmacists,"Lucas G. Hill, PharmD, BCPS, BCACP",University of Texas at Austin,College of Pharmacy,S. Andrea Laguado,University of Texas at Austin,College of Pharmacy,John Patrick Sanchez,University of Texas at Austin,College of Pharmacy,"Pharmaceutical Innovation, Design",2017
Operation Naloxone: Overdose Prevention on Campus,"Lori Holleran Steiker, Ph.D., A.C.S.W",University of Texas at Austin,N/A,"Lucas G. Hill, PharmD., B.C.P.S, B.C.A.C.P",University of Texas at Austin,N/A,"J. Nile Barnes, EMT-P(LP), PharmD,B.C.P.S",University of Texas at Austin,,"Pharmaceutical Innovation, Design, ",2017
"The Relationship Between Person-Centered Care, Satisfaction of Nursing Care, and the Healthcare Environment","Stephanie Morgan, Ph.D., R.N, F.N.P-B.C",University of Texas at Austin,College of Nursing,,N/A,N/A,N/A,N/A,N/A,Patient Safety & Quality Care,2017
ARC's Patient Centered Medical Home Journey: Innovating a new approach to managing healthcare quality and costs,"Patti Parker, M.B.A",University of Texas at Austin,McCombs School of Business,N/A,N/A,N/A,N/A,N/A,N/A,"Process Improvement, Design, Health Information Technology",2017
Identifying care providers' and clinic staff members' attitudes toward electronic medical records: An application of the technology acceptance model,"Elizabeth M. Glowacki, M.A.",N/A,N/A,"Dron Mandhana, M.A.",N/A,N/A,N/A,N/A,N/A,"Health Information Technology, Design",2017
Quality Improvement Programs' IMPACT to Successful Clinical Practice Changes ,"Erika Bowen, Ph.D.",University of Texas Health Science Center at San ,N/A,"Osman Ozturgut, Ph.D.",University of Texas Health Science Center at San ,N/A,"Letti Bresnahan, M.B.A",N/A,N/A,"Process Improvement, Patient Safety & Quality Care",2017
Redesign to Reduce Ionizing Radiation Exposure in Children with Abdominal Pain and Acute Appendicitis,"Tory Meyer, M.D.",,N/A,"Julie Sanchez, M.D.",*Dell Medical,N/A,"Shaheen Hussaini, M.D.",N/A,N/A,"Process Improvement, Patient Safety & Quality Care",2017
Aesthetics of Health: Service Learning in the Arts,"Megan Hildebrandt, M.F.A.",University of South Florida,Studio Art,"Melinda Ronayne, M.A.",Maryland Institute College of Art,Arts Education,N/A,N/A,N/A,Health Communication **,2017
The Student-Run Free Clinic's Role in the Delivery of Value-Based Health Care,"Nina Leung, Ph.D.",University of Texas at Austin ,N/A,"Evan Ross, M.D.",University of Texas at Austin ,N/A,"Anne-Britte Dekker, M.D.",University of Texas at Austin ,N/A,"Healthcare Entrepreneurship, Design, Patient Safety & Quality Care",2017
Ethics Unwrapped Presentation for McCombs Healthcare Symposium,Professor Robert Prentice,University of Texas at Austin,McCombs School of Business,N/A,N/A,N/A,N/A,N/A,N/A,Healthcare Law and Policy,2017
The effectiveness of Solution-focused brief therapy for distress of parents of congenital heart conditions in China: A pilot randomized controlled trial,"Jennifer A. Currin-McCulloch, M.S.W, L.M.S.W, O.S.W.-C.",University of Texas at Austin,School of Social Work,"Anao Zhang, M.S.W., L.C.S.W., A.C.T",University of Texas at Austin,School of Social Work,N/A,N/A,N/A,"Patient Safety & Quality Care, Design",2017
Sleep Disturbances Experienced by Military Burn Survivors,"Linda H. Yoder, Ph.D., M.B.A, R.N, A.O.C.N, F.A.A.N.",University of Texas at Austin,School of Nursing,"Pat Carter, Ph.D., R.N., C.N.S",University of Texas at Austin,School of Nursing,N/A,N/A,N/A,"Health Disparities, Design",2017
A Texas Hospital: Planning For Modern Psychiatric Care,"Dean Almy, R.A.",University of Texas at Austin,McCombs School of Business,N/A,N/A,N/A,N/A,N/A,N/A,"Design, Process Improvement",2017
Hospital-Physician Gainsharing Contract Design,Diwakar Gupta,University of Minnesota,N/A,Mili Mehrotra,University of Minnesota,N/A,Xiaoxu Tang,University of Minnesota,N/A,Design,2017
YouTube as a Source of Information on Atopic dermatitis,"Andrea Suarez, M.D., Ph.D.",University of Texas Health Science Center-McGovern Medical Center,Dermatology,"Brandy Drozd, B.S.",University of Texas Health Science Center-McGovern Medical Center,Dermatology,"Benjamin D. Freemyer, B.S.",University of Texas Health Science Center-McGovern Medical Center,Dermatology,"Health Communication, Digital Health",2017
Congestive heart failure under different types of primary care model: Process and outcome of care among Medicare Beneficiaries,"Mukakila A. Raji, M.D.",N/A,N/A,"James S. Goodwin, M.D.",N/A,N/A,"Chiemeziem G. Eke, B.S.",N/A,N/A,"Process Improvement, Healthcare Law and Policy,  Health Disparities",2017
Interorganizational Collaboration in Healthcare: Insight from Cardiovascular Systems of Care,"James R. Langabeer II, Ph.D.",University of Texas Health Science Center,Healthcare Management and Informatics,"Tiffany Champagne-Langabeer, Ph.D.",University of Texas Health Science Center,Biomedical Informatics,,N/A,N/A,"Design, Health Information Technology",2017
"Pediatric Cochlear Implantation: Variation in Income, Race, Payer, and Charges Across five States","Zhen Huang, M.D., M.B.A",University of Texas Health Science Center,Otorhinolaryngology,"Heather Gordish-Dressman, Ph.D.",George Washington University School of Medicine and Health Sciences,Integrative Systems Biology and Pediatrics,"Diego Preciado, M.D.",and Health Sciences,Pediatric Otolaryngology,Health Disparities,2017
Resolving Malpractice Claims after Tort Reform: Experience in a Self-Insured Texas Public Academic Health System,"William M. Sage, M.D., J.D.",University of Texas at Austin-Dell Medical School; School of Law,Surgery and Perioperative Care,Molly Colvard Harding,University of Texas,N/A,Eric J. Thomas,University of Texas,N/A,Healthcare Law and Policy,2017
Medical Improvisation: New Models for Patient-Centered Communication,Shana Merlin,N/A,N/A,"Rob Milman, M.D.",University of Texas at Austin,UT Center for Health Communication-Moody College of Communication,N/A,N/A,N/A,"Health Communications, Patient Safety & Quality Care",2017
